L_ID,year,month,Source_main,Source_Sub
ABC0005533,2021,3,NULL,NULL
ABC0005533,2021,4,NULL,NULL
ABC0005533,2021,5,NULL,NULL
ABC0005533,2021,6,NULL,NULL
ABC0005533,2021,7,NULL,NULL
ABC0005533,2021,8,NULL,NULL
ABC0005533,2021,9,NULL,NULL
ABC0005533,2021,10,NULL,NULL
ABC0005533,2021,11,NULL,NULL
ABC0005533,2021,12,13769.955,NULL
ABC0005533,2022,1,451964.415,NULL
ABC0005533,2022,2,582452.73,NULL
ABC0005533,2022,3,722092.455,NULL
ABC0005533,2022,4,603610.965,NULL
ABC0005533,2022,5,746131.65,NULL
ABC0005533,2022,6,736649.895,NULL
ABC0005533,2022,7,NULL,NULL
ABC0011662,2021,1,NULL,NULL
ABC0011662,2021,2,NULL,NULL
ABC0011662,2021,3,NULL,NULL
ABC0011662,2021,4,NULL,NULL
ABC0011662,2021,5,NULL,NULL
ABC0011662,2021,6,NULL,NULL
ABC0011662,2021,7,NULL,NULL
ABC0011662,2021,8,NULL,NULL
ABC0011662,2021,9,NULL,NULL
ABC0011662,2021,10,NULL,NULL
ABC0011662,2021,11,NULL,NULL
ABC0011662,2021,12,NULL,NULL
ABC0011662,2022,1,NULL,NULL
ABC0011662,2022,2,NULL,NULL
ABC0011662,2022,3,NULL,NULL
ABC0011662,2022,4,NULL,NULL
ABC0011662,2022,5,NULL,NULL
ABC0011662,2022,6,NULL,NULL
ABC0011662,2022,7,NULL,NULL
ABC0011722,2021,8,91713.21,68017.365
ABC0011722,2021,9,216423.285,97758.855
ABC0011722,2021,10,236205.03,0
ABC0011722,2021,11,290580.465,0
ABC0011722,2021,12,349422.93,0
ABC0011722,2022,1,279886.575,0
ABC0011722,2022,2,257890.5,0
ABC0011722,2022,3,257771.055,139324.65
ABC0011722,2022,4,264220.74,269063.76
ABC0011722,2022,5,286900.5,268202.115
ABC0011722,2022,6,NULL,246487.035
ABC0011722,2022,7,NULL,164438.145
ABC0011755,2021,11,1814287.17,2222756.25
ABC0011755,2021,12,5705532.555,6990477.375
ABC0011755,2022,1,4211671.5,5159298
ABC0011755,2022,2,5680374,6958290.75
ABC0011755,2022,3,7580440.5,9285787.125
ABC0011755,2022,4,6249552,7655496.75
ABC0011755,2022,5,NULL,8322221.4
ABC0011755,2022,6,NULL,8903661.75
ABC0011755,2022,7,NULL,5655619.875
ABC0011756,2021,11,3816776.205,4675550.85
ABC0011756,2021,12,9282563.97,11371140.86
ABC0011756,2022,1,9297444.33,11389369.31
ABC0011756,2022,2,12370056.11,15153400.44
ABC0011756,2022,3,15377168.03,18836429.93
ABC0011756,2022,4,11437003.95,14009947.85
ABC0011756,2022,5,NULL,17559853.32
ABC0011756,2022,6,NULL,15409925.79
ABC0011756,2022,7,NULL,7923456.27
ABC0012483,2021,6,NULL,NULL
ABC0012483,2021,7,NULL,NULL
